Artist,Title,Streams
Camila Cabello,OMG,21461215
The Weeknd,Six Feet Under,21442953
JP Cooper,September Song,21390397
Maroon 5,Wait,21372119
Kendrick Lamar,FEAR.,21338337
Nicki Minaj,No Frauds,21118785
Fifth Harmony,Work from Home,21097418
Trippie Redd,Love Scars,21074598
Twenty One Pilots,Stressed Out,21044344
Smokepurpp,Audi.,21041378
ZAYN,Still Got Time,20981589
Flo Rida,Cake,20907646
6ix9ine,GUMMO,20798121
Bryson Tiller,Run Me Dry,20779454
Drake,KMT,20258407
Future,Used to This,20184059
Gucci Mane,Curve (feat. The Weeknd),20164855
Drake,No Long Talk,20053256
Adele,Water Under the Bridge,19788754
Drake,Ice Melts,19763670
Ed Sheeran,Dive,19758762
MAX,Lights Down Low,19473601
Young Thug,Wyclef Jean,19386654
Eminem,River (feat. Ed Sheeran),19296038
Niall Horan,Too Much To Ask,19166215
Kendrick Lamar,DUCKWORTH.,19040937
XXXTENTACION,Revenge,18913242
Kendrick Lamar,BLOOD.,18718025
Drake,Madiba Riddim,18485347
Imagine Dragons,Whatever It Takes,18421573
Future,Rent Money,18391952
Drake,4422,18318412
Sage The Gemini,Now and Later,18195143
Ariana Grande,Everyday,18184809
Drake,Jorja Interlude,18143966
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",18127200
Eminem,Walk On Water (feat. Beyoncé),18055579
The Weeknd,Sidewalks,17883733
Young M.A,OOOUUU,17726724
Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,17671431
Wham!,Last Christmas,17668541
Machine Gun Kelly,At My Best (feat. Hailee Steinfeld),17509490
Cardi B,Bartier Cardi (feat. 21 Savage),17459286
Andy Williams,It's the Most Wonderful Time of the Year,17419651
Lil Yachty,Peek A Boo,17333920
Lil Pump,D Rose,17120529
OneRepublic,No Vacancy,16999397
gnash,"i hate u, i love u (feat. olivia o'brien)",16927286
Luis Fonsi,Échame La Culpa,16927120
Auli'i Cravalho,How Far I'll Go,16889134
Taylor Swift,End Game,16305250
A R I Z O N A,Oceans Away,16282594
Meek Mill,Litty (feat. Tory Lanez),16273141
A Boogie Wit da Hoodie,My Shit,16209145
CNCO,Reggaetón Lento (Remix),16196903
Eminem,Lose Yourself - Soundtrack Version,16175011
Zedd,Get Low (with Liam Payne),16171300
Lil Uzi Vert,X,16028247
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",15911566
The Chainsmokers,Break Up Every Night,15898405
Stanaj,Romantic - NOTD Remix,15890771
Joey Bada$$,DEVASTATED,15879638
LANY,Super Far,15860358
Aaron Carter,Sooner Or Later,15817934
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,15706346
Avicii,Without You (feat. Sandro Cavazza),15670840
Rihanna,Work,15622927
Logic,Black SpiderMan,15597070
Jon Pardi,Dirt On My Boots,15525281
The Weeknd,The Hills,15501449
Cashmere Cat,Quit (feat. Ariana Grande),15426692
Sabrina Carpenter,Thumbs,15390604
Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),15200757
Kendrick Lamar,The Heart Part 4,15079659
LANCO,Greatest Love Story,15008215
Burl Ives,A Holly Jolly Christmas - Single Version,14973977
Katy Perry,Swish Swish,14903840
Future,Draco,14896679
Chance The Rapper,Juke Jam (feat. Justin Bieber & Towkio),14804106
"Tyler, The Creator",Who Dat Boy,14764513
Little Mix,Touch,14690291
Isaiah,It's Gotta Be You,14633049
Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),14509537
Florida Georgia Line,H.O.L.Y.,14489420
Future,Patek Water,14474706
Vice,Obsession (feat. Jon Bellion),14451205
A Boogie Wit da Hoodie,Timeless (DJ SPINKING),14431255
Robin Schulz,Shed a Light,14362959
Camila Cabello,Havana - Remix,14218798
Demi Lovato,Tell Me You Love Me,14180474
DJ Snake,A Different Way (with Lauv),14153138
Panic! At The Disco,Death Of A Bachelor,14124108
Ed Sheeran,New Man,14122584
Drake,Can't Have Everything,14075407
Future,Mask Off - Remix,14045011
A Boogie Wit da Hoodie,Say A',14029320
BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],13987469
Kodak Black,There He Go,13872758
Sabrina Carpenter,Why,13836330
XXXTENTACION,Carry On,13725109
MØ,Nights With You,13710087
N.E.R.D,Lemon,13687481
Ed Sheeran,Thinking Out Loud,13683074
Lil Uzi Vert,444+222,13644506
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,13521612
Bing Crosby,White Christmas,13476036
Gucci Mane,Tone it Down (feat. Chris Brown),13458718
Ed Sheeran,What Do I Know?,13383755
San Holo,Light,13381776
A$AP Mob,RAF,13369390
J. Cole,Immortal,13352596
Vince Guaraldi Trio,Christmas Time Is Here - Vocal,13229076
Travis Scott,Antidote,13128133
Jason Derulo,Tip Toe (feat. French Montana),13104786
DVBBS,Not Going Home,13064125
G-Eazy,"Me, Myself & I",13016831
Big Sean,Go Legend (& Metro Boomin),12984371
Camila Cabello,Never Be the Same,12842620
DJ Khaled,To the Max,12826445
Zara Larsson,I Would Like,12820430
Trippie Redd,Bust Down,12777947
Drake,Nothings Into Somethings,12755275
A Boogie Wit da Hoodie,Undefeated (feat. 21 Savage),12695431
Lil Uzi Vert,Dark Queen,12657609
Migos,Call Casting,12591856
Niall Horan,This Town,12582761
Moon Taxi,Two High,12492314
J. Cole,Wet Dreamz,12480895
Drake,Glow,12471042
Nat King Cole,The Christmas Song (Merry Christmas To You),12410256
Lil Uzi Vert,Do What I Want,12408402
Band Aid,Do They Know It's Christmas? - 1984 Version,12343473
Hearts & Colors,Lighthouse - Andrelli Remix,12312208
Ed Sheeran,How Would You Feel (Paean),12076782
Daya,New,11998637
Old Dominion,No Such Thing as a Broken Heart,11956729
Frank Ocean,Chanel,11909581
Gucci Mane,Both (feat. Drake & Lil Wayne) - Remix,11908700
Taylor Swift,Call It What You Want,11810341
Drake,Lose You,11766952
Elvis Presley,Blue Christmas,11662943
Ariana Grande,Into You,11655918
Ed Sheeran,Photograph,11522579
Kiiara,Whippin (feat. Felix Snow),11453046
Kanye West,Father Stretch My Hands Pt. 1,11441032
Big Shaq,Man's Not Hot,11375957
21 Savage,Rap Saved Me,11371035
The Chainsmokers,Setting Fires,11324743
Bad Bunny,Sensualidad,11094049
Florida Georgia Line,May We All,11091504
Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),11066483
Chance The Rapper,Same Drugs,11061103
Luke Christopher,Lot to Learn,11046893
Bing Crosby,Winter Wonderland,11038692
XXXTENTACION,Look at Me!,11006563
Macklemore,Marmalade (feat. Lil Yachty),10936577
