Artist,Title,views,delimiter count
Marshmello ,LoVe U,10940254,1
Crawling (One More Light Live) ,Linkin Park,10902987,1
Chloe x Halle ,Warrior (from A Wrinkle in Time),10762577,1
Shawn Mendes ,Nervous,10319103,1
Don Diablo ft. Ansel Elgort ,Believe,10290700,1
Maggie Lindemann ,Obsessed,10108524,1
Grace VanderWaal ,So Much More Than This,10093084,1
Lauv ,Getting Over You,9840881,1
Chris Young ,Hangin' On,9740916,1
Fall Out Boy ,Church,9643354,1
Tinashe ,Faded Love ft. Future,9612528,1
HONNE ,Location Unknown ◐ (feat. Georgia),9466947,1
Gallant ,Doesn't Matter,9466408,1
Charlie Puth (feat. Boyz II Men) ,If You Leave Me Now (Studio Session),9376747,1
Chris Brown ,On Purpose ft. AGNEZ MO,9361727,1
Don Diablo ,Higher ft  Betty Who | ,9302190,1
Kacey Musgraves ,Space Cowboy,9203022,1
"Milo Manheim, Meg Donnelly ",Someday  Ballad (From ZOMBIES),9163169,1
John Newman ,Fire In Me,9136937,1
Noah Cyrus ,We Are... ft. MØ,8938720,1
Marshmello ,TELL ME,8836953,1
Jason Derulo ,Tip Toe feat. French Montana,8524177,1
Sabrina Claudio ,All To You (Lyric Visual),8479401,1
Grace VanderWaal ,City Song,8469640,1
The Internet ,Come Over,8274481,1
David Guetta & Afrojack ft Charli XCX & French Montana ,Dirty Sexy Money,8199225,1
Christina Aguilera ,Twice,8089438,1
End Game ,Behind The Scenes,7975625,1
Lady Gaga ,The Cure,7825023,1
"J. Balvin, Willy William ",Mi Gente (Alesso Remix) with Anwar Jibawi,7786569,1
Sia ,Candy Cane Lane,7781119,1
Green Day ,Back In The USA,7780608,1
Mariah Carey ,Live At Dick Clark's New Year's Rockin' Eve 2018!,7763315,1
"Enrique Iglesias, Pitbull ",MOVE TO MIAMI,7742242,1
Kylie Minogue ,Stop Me from Falling,7610602,1
Ansel Elgort ,Supernova,7590243,1
Bullet For My Valentine ,Letting You Go,7590086,1
Dave Matthews Band ,Samurai Cop (Oh Joy Begin) (Visualizer),7500468,1
U2 ,Get Out Of Your Own Way,7389631,1
"Niall Horan, Maren Morris ",Seeing Blind (Acoustic),7149266,1
Jason Aldean ,You Make It Easy,7044089,1
Taylor Swift,Look What You Made Me Do,7000902,1
Troye Sivan ,The Good Side,6812352,1
Mase ,The Oracle (Cam'Ron Diss),6732940,1
5 Seconds Of Summer ,Youngblood (Acoustic),6494018,1
George Ezra ,Pretty Shining People,6347151,1
"Nicki Minaj: On Cardi B, Migos",MotorSport,6235142,1
Ellie Goulding ,Vincent,6183168,1
Alan Walker ,All Falls Down,6119154,1
Kylie Minogue ,Dancing,6080317,1
"BØRNS, Lana Del Rey ",God Save Our Young Blood,6079208,1
Nick Jonas ,Home,5911382,1
MNEK ,Colour ft. Hailee Steinfeld,5898886,1
Katy Perry ,Making Of “Hey Hey Hey” ,5802305,1
Fall Out Boy ,Wilson (Expensive Mistakes),5695046,1
Jason Aldean ,Rearview Town,5648987,1
Pentatonix, How Great Thou Art featuring Jennifer Hudson,5614439,1
Three Days Grace ,The Mountain,5527420,1
CHVRCHES ,My Enemy ft. Matt Berninger,5474359,1
James Arthur ,Naked,5465397,1
Kesha ,This Is Me (from The Greatest Showman Soundtrack),5305802,1
Bruno Mars ,Live At The Apollo Theater [ Trailer] (November 29th on CBS),5286318,1
Niall Horan ,On The Loose,5251229,1
The Final Countdown ,Europe (Vintage Cabaret Cover) ft. Gunhild Carling,5248799,1
Sugarland ,Still The Same,5198965,1
Jack White ,Connected By Love,5156012,1
Kacey Musgraves ,High Horse,5126543,1
"Sting, Shaggy ",Don't Make Me Wait,5102092,1
Elton John ,Farewell Yellow Brick Road Tour: The Launch (VR180),5050726,1
Thirty Seconds To Mars ,Dangerous Night,4994625,1
Kid Rock ,American Rock 'n Roll,4950866,1
Kehlani ,Again,4721197,1
Lindsey Stirling ,Angels We Have Heard on High,4702023,1
The Script ,Arms Open,4685750,1
"Zedd, Maren Morris, Grey ",The Middle (Presented by Target),4671390,1
Kane Brown ,Found You,4493298,1
MGMT ,Me and Michael,4413729,1
"Julia Michaels, Trippie Redd ",Jump ft. Trippie Redd,4412637,1
Sigrid ,Raw (Live),4394444,1
Talking to Myself  ,Linkin Park,4384154,1
Sabrina Carpenter ,Almost Love ,4247508,1
Cam'ron ,Dinner Time (Mase Diss Track),4193017,1
Luke Combs ,One Number Away,4167194,1
Maggie Rogers ,Fallingwater,4072501,1
Breaking Benjamin ,Red Cold River ( Only),4019099,1
NF ,Let You Down,3959385,1
Ghosts ,Mike Shinoda,3795869,1
"Calum Scott, Leona Lewis ",You Are The Reason (Duet Version),3680628,1
Keith Urban ,Parallel Line,3583489,1
Sia ,Snowman,3507639,1
Chris Stapleton ,Tryin' To Untangle My Mind,3353204,1
Diplo ,Look Back (Feat. DRAM),3346687,1
Chloe x Halle ,Grown,3333684,1
George Ezra ,Saviour ft. First Aid Kit,3249689,1
Dua Lipa ,Golden Slumbers,3242072,1
Foo Fighters ,Everlong/Christmas (Baby Please Come Home)/ Linus And Lucy (Live At SNL),3225798,1
Britney Spears ,Toxic,3206710,1
John Legend ,All of Me ( cover by Big Marvel ),3137004,1
"One Bit, Noah Cyrus ",My Way,3110803,1
Logic & Rag'n'Bone Man ,Broken People (from Bright: The Album),3094890,1
